Appliance_CPU_Utilization,Appliance_Memory_Utilization,Bandwidth (MB/s),Block Size,Host1_CPU_Utilization,Host1_Memory_Utilization,Host2_CPU_Utilization,Host2_Memory_Utilization,IOPS,Queue Depth/Thread,Read Latency (us),Stat_End_Time,Stat_Start_Time,Test_Name,Threads,Time_date,Timestamp,Timestamp_ms,Type,Write %,Write Latency (us)
32,10,7400.0,4096,14,2,14.0,2.0,1894398,1,66.81539397,2018-05-07 14:00:28,2018-05-07 13:58:48,Sustained 4KB Random Read Tests by Number of Threads,64,Mon May  7 14:00:38 2018,2018-05-07 14:00:38,1525681838563,Rand,0,0.0
1,10,228.70999999999998,4096,0,2,0.0,2.0,58548,1,0.0,2018-05-07 14:02:39,2018-05-07 14:00:59,Sustained 4KB Random Write Tests by Number of Threads,1,Mon May  7 14:02:49 2018,2018-05-07 14:02:49,1525681969623,Rand,100,33.684957771499995
2,10,437.47,4096,0,2,0.0,2.0,111991,1,0.0,2018-05-07 14:04:50,2018-05-07 14:03:10,Sustained 4KB Random Write Tests by Number of Threads,2,Mon May  7 14:05:00 2018,2018-05-07 14:05:00,1525682100759,Rand,100,35.201459048000004
4,10,885.3,4096,1,2,1.0,2.0,226637,1,0.0,2018-05-07 14:07:01,2018-05-07 14:05:21,Sustained 4KB Random Write Tests by Number of Threads,4,Mon May  7 14:07:11 2018,2018-05-07 14:07:11,1525682231901,Rand,100,34.7758516375
8,10,1769.62,4096,2,2,2.0,2.0,453023,1,0.0,2018-05-07 14:09:13,2018-05-07 14:07:33,Sustained 4KB Random Write Tests by Number of Threads,8,Mon May  7 14:09:23 2018,2018-05-07 14:09:23,1525682363007,Rand,100,34.7327984465
12,10,3548.7799999999997,4096,6,2,5.0,2.0,908487,1,0.0,2018-05-07 14:11:24,2018-05-07 14:09:44,Sustained 4KB Random Write Tests by Number of Threads,16,Mon May  7 14:11:34 2018,2018-05-07 14:11:34,1525682494173,Rand,100,34.645080309
22,10,6101.01,4096,12,2,12.0,2.0,1561858,1,0.0,2018-05-07 14:13:35,2018-05-07 14:11:55,Sustained 4KB Random Write Tests by Number of Threads,32,Mon May  7 14:13:45 2018,2018-05-07 14:13:45,1525682625299,Rand,100,40.289127891999996
33,10,8521.09,4096,23,2,23.0,2.0,2181398,1,0.0,2018-05-07 14:15:46,2018-05-07 14:14:06,Sustained 4KB Random Write Tests by Number of Threads,64,Mon May  7 14:15:56 2018,2018-05-07 14:15:56,1525682756454,Rand,100,57.777371403000004
0,10,36.45,4096,0,2,,,9330,1,106.06875746600001,2018-05-07 15:00:23,2018-05-07 14:58:43,Latency Test Sustained 4KB Random Read Tests by Number of Threads,1,Mon May  7 15:00:33 2018,2018-05-07 15:00:33,1525685433844,Rand,0,0.0
0,10,73.68,4096,0,2,,,18863,1,105.170783514,2018-05-07 15:02:34,2018-05-07 15:00:54,Latency Test Sustained 4KB Random Read Tests by Number of Threads,2,Mon May  7 15:02:44 2018,2018-05-07 15:02:44,1525685564978,Rand,0,0.0
